,COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
64,ECHOLS,0.0,45.0,69.0,0.0,9.0,7.0,0.0,2.0,2.0,0.0,69.0,54.0,0.0,1.0,3.0,1.0,847.0,753.0,0.0,57.0,40.0,1959.0
65,EFFINGHAM,15.0,2405.0,2556.0,2.0,114.0,89.0,0.0,23.0,25.0,1.0,286.0,242.0,2.0,119.0,83.0,32.0,15021.0,13835.0,2.0,2615.0,1986.0,39453.0
66,ELBERT,3.0,231.0,270.0,0.0,18.0,17.0,0.0,4.0,0.0,0.0,55.0,54.0,0.0,25.0,22.0,0.0,4174.0,3645.0,1.0,1861.0,1290.0,11670.0
67,EMANUEL,2.0,446.0,478.0,0.0,23.0,16.0,0.0,5.0,3.0,0.0,43.0,39.0,0.0,21.0,16.0,3.0,4100.0,3526.0,2.0,2374.0,1472.0,12569.0
68,EVANS,1.0,246.0,242.0,0.0,14.0,11.0,0.0,3.0,2.0,0.0,46.0,45.0,0.0,12.0,11.0,0.0,1874.0,1634.0,1.0,920.0,590.0,5652.0
69,FANNIN,7.0,487.0,506.0,0.0,30.0,31.0,0.0,13.0,13.0,0.0,48.0,51.0,0.0,26.0,12.0,2.0,8695.0,7771.0,0.0,20.0,13.0,17725.0
70,FAYETTE,56.0,5366.0,5138.0,1.0,563.0,467.0,0.0,42.0,35.0,6.0,1046.0,885.0,3.0,957.0,777.0,50.0,27434.0,24958.0,22.0,10006.0,8002.0,85814.0
71,FLOYD,11.0,2589.0,2869.0,2.0,120.0,95.0,0.0,19.0,21.0,1.0,600.0,502.0,2.0,226.0,186.0,14.0,22144.0,19031.0,3.0,4147.0,2717.0,55299.0
72,FORSYTH,156.0,16105.0,16200.0,6.0,856.0,784.0,1.0,118.0,97.0,4.0,2119.0,1887.0,19.0,3775.0,3531.0,115.0,50329.0,45703.0,2.0,2138.0,1737.0,145682.0
73,FRANKLIN,3.0,363.0,422.0,0.0,25.0,14.0,0.0,1.0,3.0,1.0,44.0,48.0,0.0,30.0,32.0,1.0,5957.0,5410.0,0.0,531.0,379.0,13264.0
74,FULTON,1041.0,51454.0,50228.0,43.0,6847.0,5745.0,4.0,376.0,350.0,44.0,8404.0,7232.0,75.0,10771.0,10079.0,338.0,148425.0,142085.0,340.0,172289.0,135999.0,752169.0
75,GILMER,4.0,591.0,659.0,1.0,33.0,46.0,0.0,10.0,7.0,0.0,176.0,164.0,1.0,26.0,24.0,12.0,9096.0,8416.0,0.0,22.0,33.0,19321.0
76,GLASCOCK,0.0,37.0,47.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,896.0,785.0,0.0,67.0,58.0,1899.0
77,GLYNN,31.0,2994.0,2836.0,0.0,262.0,180.0,0.0,24.0,26.0,3.0,467.0,399.0,1.0,242.0,190.0,30.0,20812.0,17464.0,12.0,7272.0,4797.0,58042.0
78,GORDON,5.0,561.0,712.0,0.0,59.0,62.0,0.0,22.0,25.0,0.0,796.0,651.0,0.0,102.0,85.0,4.0,13971.0,12439.0,0.0,636.0,554.0,30684.0
79,GRADY,1.0,388.0,434.0,0.0,54.0,31.0,0.0,5.0,6.0,0.0,97.0,100.0,0.0,22.0,26.0,1.0,4951.0,4227.0,5.0,2354.0,1576.0,14278.0
80,GREENE,8.0,411.0,420.0,0.0,23.0,24.0,0.0,1.0,1.0,0.0,57.0,59.0,0.0,37.0,28.0,1.0,4089.0,3779.0,1.0,2123.0,1448.0,12510.0
81,GWINNETT,1108.0,30634.0,30059.0,80.0,7600.0,6229.0,5.0,514.0,446.0,131.0,21678.0,17990.0,141.0,20202.0,19641.0,287.0,123323.0,112611.0,342.0,84027.0,62630.0,539678.0
82,HABERSHAM,10.0,946.0,1095.0,0.0,52.0,58.0,0.0,12.0,4.0,0.0,317.0,368.0,0.0,146.0,139.0,11.0,11364.0,10088.0,0.0,272.0,218.0,25100.0
83,HALL,68.0,7364.0,8124.0,0.0,484.0,446.0,0.0,50.0,56.0,27.0,4392.0,4071.0,4.0,624.0,569.0,78.0,42953.0,38277.0,4.0,4384.0,3348.0,115323.0
84,HANCOCK,1.0,121.0,128.0,0.0,13.0,8.0,0.0,0.0,2.0,0.0,3.0,10.0,0.0,2.0,4.0,0.0,672.0,672.0,1.0,2279.0,1844.0,5760.0
85,HARALSON,4.0,520.0,592.0,0.0,30.0,30.0,0.0,11.0,10.0,0.0,36.0,33.0,0.0,40.0,40.0,11.0,8482.0,7523.0,0.0,411.0,330.0,18103.0
86,HARRIS,7.0,741.0,762.0,0.0,81.0,80.0,0.0,9.0,8.0,1.0,186.0,144.0,1.0,99.0,55.0,7.0,9388.0,8718.0,3.0,1916.0,1583.0,23789.0
87,HART,3.0,378.0,399.0,0.0,11.0,25.0,0.0,6.0,1.0,0.0,46.0,49.0,0.0,59.0,47.0,5.0,6178.0,5526.0,0.0,1356.0,965.0,15054.0
88,HEARD,1.0,152.0,228.0,0.0,14.0,8.0,0.0,7.0,5.0,0.0,18.0,17.0,0.0,12.0,11.0,3.0,2973.0,2665.0,0.0,387.0,305.0,6806.0
89,HENRY,60.0,8273.0,7386.0,5.0,2033.0,1725.0,0.0,57.0,59.0,2.0,2308.0,1851.0,6.0,1430.0,1244.0,37.0,35255.0,32074.0,27.0,37361.0,27294.0,158487.0
90,HOUSTON,78.0,3788.0,4096.0,6.0,564.0,411.0,2.0,59.0,46.0,2.0,1164.0,835.0,2.0,990.0,714.0,42.0,30017.0,26878.0,62.0,16672.0,11450.0,97878.0
91,IRWIN,2.0,51.0,78.0,0.0,8.0,5.0,0.0,0.0,1.0,0.0,20.0,27.0,0.0,8.0,7.0,2.0,2043.0,1857.0,0.0,793.0,524.0,5426.0
92,JACKSON,16.0,1919.0,2162.0,0.0,131.0,120.0,0.0,12.0,16.0,1.0,565.0,492.0,0.0,248.0,228.0,21.0,18431.0,16662.0,1.0,1396.0,1145.0,43566.0
93,JASPER,0.0,139.0,142.0,0.0,11.0,11.0,0.0,2.0,0.0,0.0,45.0,47.0,0.0,13.0,8.0,3.0,3596.0,3428.0,0.0,985.0,756.0,9186.0
94,JEFF DAVIS,0.0,150.0,169.0,0.0,13.0,5.0,0.0,2.0,2.0,0.0,103.0,76.0,0.0,8.0,9.0,4.0,3318.0,2947.0,0.0,717.0,527.0,8050.0
95,JEFFERSON,6.0,363.0,403.0,1.0,17.0,13.0,0.0,2.0,3.0,0.0,17.0,12.0,0.0,9.0,11.0,2.0,2278.0,2021.0,7.0,3241.0,2238.0,10644.0
96,JENKINS,1.0,150.0,225.0,0.0,7.0,4.0,0.0,1.0,3.0,0.0,4.0,7.0,0.0,4.0,5.0,1.0,1453.0,1319.0,1.0,1063.0,744.0,4992.0
97,JOHNSON,0.0,63.0,68.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,5.0,8.0,2.0,1812.0,1640.0,0.0,913.0,640.0,5163.0
98,JONES,9.0,257.0,327.0,1.0,25.0,26.0,0.0,11.0,8.0,0.0,56.0,42.0,1.0,45.0,25.0,4.0,6837.0,6188.0,2.0,2642.0,1968.0,18474.0
99,LAMAR,1.0,421.0,459.0,0.0,33.0,30.0,0.0,4.0,1.0,0.0,37.0,28.0,0.0,17.0,15.0,2.0,4110.0,3654.0,0.0,1609.0,1227.0,11648.0
100,LANIER,3.0,187.0,195.0,0.0,23.0,13.0,0.0,6.0,2.0,0.0,54.0,35.0,0.0,19.0,14.0,1.0,2041.0,1704.0,0.0,636.0,520.0,5453.0
101,LAURENS,3.0,606.0,673.0,0.0,54.0,49.0,0.0,15.0,13.0,0.0,94.0,99.0,1.0,94.0,79.0,5.0,9199.0,7983.0,4.0,5726.0,3817.0,28514.0
102,LEE,12.0,759.0,815.0,2.0,57.0,79.0,0.0,6.0,7.0,0.0,129.0,104.0,1.0,129.0,124.0,15.0,8394.0,7612.0,10.0,2231.0,1614.0,22100.0
103,LIBERTY,10.0,2206.0,2379.0,1.0,354.0,231.0,0.0,37.0,15.0,1.0,1071.0,833.0,1.0,322.0,210.0,4.0,6407.0,5476.0,11.0,8754.0,6276.0,34599.0
104,LINCOLN,1.0,180.0,203.0,0.0,8.0,7.0,0.0,6.0,5.0,0.0,7.0,7.0,0.0,12.0,6.0,1.0,1975.0,1864.0,0.0,901.0,697.0,5880.0
105,LONG,4.0,555.0,578.0,0.0,58.0,41.0,0.0,9.0,6.0,0.0,204.0,162.0,0.0,54.0,25.0,3.0,2483.0,2158.0,1.0,1129.0,871.0,8341.0
106,LOWNDES,27.0,1511.0,1624.0,1.0,577.0,470.0,0.0,62.0,62.0,0.0,770.0,625.0,1.0,424.0,296.0,16.0,20933.0,18518.0,8.0,14044.0,9975.0,69944.0
107,LUMPKIN,6.0,719.0,873.0,0.0,54.0,43.0,0.0,34.0,34.0,1.0,151.0,125.0,0.0,48.0,35.0,3.0,9322.0,8441.0,0.0,85.0,82.0,20056.0
108,MCDUFFIE,5.0,382.0,452.0,0.0,20.0,14.0,0.0,6.0,1.0,1.0,58.0,31.0,0.0,24.0,19.0,2.0,4228.0,3675.0,1.0,3156.0,2072.0,14147.0
109,MCINTOSH,1.0,224.0,283.0,0.0,30.0,17.0,0.0,3.0,2.0,0.0,43.0,24.0,0.0,11.0,19.0,0.0,3014.0,2819.0,0.0,1519.0,1217.0,9226.0
110,MACON,2.0,100.0,127.0,0.0,15.0,7.0,0.0,0.0,1.0,0.0,37.0,16.0,0.0,24.0,33.0,0.0,1178.0,1101.0,0.0,2368.0,1705.0,6714.0
111,MADISON,11.0,780.0,838.0,0.0,39.0,43.0,0.0,7.0,5.0,0.0,127.0,84.0,0.0,63.0,47.0,14.0,7670.0,6857.0,0.0,812.0,638.0,18035.0
