COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
CHATTAHOOCHEE,0.00,15.00,12.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,279.0,271.0,0.00,161.0,92.00,835.0
CHATTOOGA,0.00,39.00,41.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,4.00,1.00,0.00,1241.0,1249.0,0.00,92.00,71.00,2744.0
CHEROKEE,2.00,468.0,582.0,1.00,43.00,69.00,0.00,6.00,7.00,0.00,94.00,91.00,0.00,47.00,35.00,4.00,11081.0,10978.0,0.00,280.0,192.0,23980.0
CLARKE,2.00,135.0,155.0,0.00,14.00,15.00,0.00,0.00,1.00,0.00,14.00,12.00,0.00,20.00,14.00,1.00,1986.0,1829.0,0.00,690.0,342.0,5230.0
CLAY,0.00,3.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,188.0,163.0,0.00,225.0,123.0,709.0
CLAYTON,3.00,678.0,334.0,0.00,90.00,48.00,0.00,4.00,3.00,0.00,83.00,58.00,0.00,56.00,69.00,0.00,2275.0,1927.0,1.00,10783.0,5477.0,21889.0
CLINCH,0.00,23.00,25.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,580.0,535.0,0.00,169.0,100.0,1437.0
COBB,5.00,516.0,438.0,0.00,232.0,229.0,0.00,9.00,15.00,0.00,250.0,216.0,0.00,163.0,183.0,9.00,20026.0,20154.0,6.00,5715.0,3099.0,51265.0
COFFEE,1.00,20.00,20.00,0.00,4.00,3.00,0.00,2.00,0.00,0.00,16.00,13.00,0.00,6.00,5.00,0.00,2345.0,2055.0,0.00,703.0,399.0,5592.0
COLQUITT,1.00,49.00,50.00,0.00,9.00,5.00,0.00,0.00,0.00,0.00,12.00,12.00,0.00,2.00,1.00,0.00,2253.0,2199.0,0.00,219.0,132.0,4944.0
COLUMBIA,2.00,311.0,311.0,0.00,35.00,42.00,0.00,5.00,3.00,0.00,47.00,63.00,0.00,94.00,61.00,2.00,6220.0,6545.0,0.00,981.0,708.0,15430.0
COOK,0.00,11.00,19.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,3.00,4.00,0.00,875.0,882.0,0.00,272.0,171.0,2241.0
COWETA,0.00,309.0,269.0,0.00,19.00,21.00,0.00,0.00,1.00,0.00,16.00,15.00,0.00,15.00,5.00,3.00,5041.0,4788.0,2.00,806.0,383.0,11693.0
CRAWFORD,0.00,14.00,12.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,652.0,617.0,0.00,381.0,210.0,1893.0
CRISP,0.00,14.00,15.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,7.00,4.00,0.00,2.00,2.00,0.00,1293.0,1159.0,0.00,458.0,233.0,3190.0
DADE,0.00,60.00,51.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,3.00,3.00,0.00,1141.0,1135.0,0.00,1.00,2.00,2402.0
DAWSON,1.00,59.00,56.00,0.00,5.00,11.00,0.00,0.00,0.00,0.00,8.00,5.00,0.00,4.00,2.00,0.00,2192.0,2056.0,0.00,6.00,1.00,4406.0
DECATUR,0.00,46.00,42.00,0.00,4.00,9.00,0.00,1.00,0.00,0.00,4.00,13.00,0.00,7.00,2.00,0.00,1896.0,1619.0,0.00,897.0,422.0,4962.0
DEKALB,0.00,1309.0,1048.0,0.00,278.0,199.0,0.00,7.00,9.00,0.00,201.0,171.0,0.00,247.0,196.0,0.00,14723.0,12808.0,0.00,24829.0,12891.0,68916.0
DODGE,0.00,23.00,19.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,3.00,3.00,0.00,3.00,1.00,0.00,1495.0,1477.0,0.00,338.0,182.0,3546.0
DOOLY,0.00,19.00,13.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,461.0,432.0,0.00,660.0,370.0,1962.0
DOUGHERTY,1.00,96.00,83.00,0.00,9.00,10.00,0.00,1.00,0.00,0.00,13.00,13.00,0.00,5.00,7.00,1.00,1928.0,1660.0,1.00,5474.0,2766.0,12068.0
DOUGLAS,1.00,307.0,258.0,0.00,48.00,34.00,0.00,3.00,3.00,0.00,38.00,26.00,0.00,18.00,11.00,1.00,5004.0,4577.0,1.00,2283.0,1390.0,14003.0
EARLY,0.00,9.00,9.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,1.00,0.00,0.00,599.0,524.0,1.00,638.0,293.0,2082.0
ECHOLS,0.00,6.00,10.00,0.00,3.00,1.00,0.00,0.00,1.00,0.00,9.00,6.00,0.00,0.00,0.00,0.00,389.0,353.0,0.00,29.00,10.00,817.0
EFFINGHAM,0.00,58.00,52.00,0.00,5.00,1.00,0.00,1.00,2.00,0.00,4.00,3.00,0.00,2.00,3.00,2.00,1727.0,1657.0,0.00,200.0,131.0,3848.0
ELBERT,0.00,19.00,32.00,0.00,2.00,2.00,0.00,2.00,0.00,0.00,2.00,1.00,0.00,2.00,1.00,0.00,1481.0,1355.0,0.00,230.0,162.0,3291.0
EMANUEL,0.00,10.00,18.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,2.00,2.00,0.00,1.00,2.00,0.00,798.0,803.0,0.00,149.0,78.00,1867.0
EVANS,1.00,8.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,1.00,0.00,0.00,511.0,462.0,0.00,104.0,48.00,1151.0
