COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
MERIWETHER,0.00,4.290,2.360,0.00,3.330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.330,7.140,0.00,10.16,11.90,0.00,0.130,0.090,6.410
MILLER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MITCHELL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MONROE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MONTGOMERY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MORGAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MURRAY,0.00,4.550,5.570,0.00,2.080,10.64,0.00,0.00,0.00,0.00,1.320,0.470,0.00,0.00,0.00,0.00,11.97,13.43,0.00,0.00,0.00,11.45
MUSCOGEE,0.00,0.230,0.280,0.00,0.210,0.00,0.00,0.00,2.630,0.00,0.360,0.280,0.00,0.00,0.130,0.00,2.360,2.800,0.00,0.030,0.030,1.140
NEWTON,0.00,2.430,1.830,0.00,1.910,1.250,0.00,0.00,0.00,0.00,0.970,0.530,0.00,2.220,2.760,0.00,5.340,5.620,0.00,8.600,6.610,6.110
OCONEE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OGLETHORPE,100.0,13.73,8.620,0.00,7.690,0.00,0.00,100.0,0.00,0.00,6.670,5.710,0.00,23.08,0.00,100.0,30.04,31.96,0.00,0.820,0.890,25.07
PAULDING,0.00,2.710,2.930,0.00,1.740,2.020,0.00,3.570,0.00,0.00,1.340,0.830,0.00,2.120,3.570,0.00,8.440,8.900,0.00,0.980,0.990,6.610
PEACH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PICKENS,0.00,2.400,1.890,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.920,3.120,0.00,0.00,3.120,0.00,8.430,8.330,0.00,2.700,2.440,7.980
PIERCE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PIKE,100.0,5.370,8.590,0.00,0.00,18.75,0.00,0.00,20.00,0.00,11.11,4.000,0.00,5.000,11.11,0.00,14.08,15.26,0.00,3.020,2.230,12.93
POLK,0.00,3.500,1.590,0.00,0.00,4.440,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.580,7.760,0.00,1.190,0.670,6.060
PULASKI,0.00,13.04,9.430,0.00,33.33,0.00,0.00,0.00,0.00,0.00,30.00,13.33,0.00,18.18,11.11,0.00,39.91,43.30,0.00,15.18,13.84,33.02
PUTNAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QUITMAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RABUN,0.00,14.83,18.55,0.00,6.250,13.33,0.00,0.00,0.00,0.00,0.00,1.390,0.00,0.00,4.350,0.00,20.14,22.55,0.00,6.900,13.04,20.70
RANDOLPH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.070,0.00,0.020
RICHMOND,0.00,0.00,0.030,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.040,0.040,0.00,0.00,0.00,0.010
ROCKDALE,0.00,7.190,5.210,0.00,4.910,4.630,0.00,7.140,5.560,0.00,2.350,2.550,0.00,2.450,3.500,0.00,5.260,4.850,0.00,14.75,12.31,9.200
SCHLEY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SCREVEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SEMINOLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.050,0.220,0.00,0.090,0.120,0.120
SPALDING,20.00,4.810,4.190,0.00,4.380,4.630,0.00,0.00,22.22,0.00,3.410,5.110,0.00,5.930,3.750,20.00,19.96,21.72,0.00,4.370,3.620,14.44
STEPHENS,0.00,4.230,3.370,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.040,1.920,0.00,8.800,10.10,0.00,1.350,1.190,8.240
